id,code,name,county_id,constituency_id
98d02527-30f2-469d-bac1-28e1dd099f6a,1,Changamwe East,6264301e-af40-43ab-ba84-5034d011cc97,4bc8a666-5d71-4851-821a-c00713dcadff
02cda6a2-a38b-4fd3-bb9b-29cc87e582e2,2,Changamwe Central,6264301e-af40-43ab-ba84-5034d011cc97,4bc8a666-5d71-4851-821a-c00713dcadff
86030698-4d99-46fc-a49b-52df7aed2d72,3,Changamwe West,6264301e-af40-43ab-ba84-5034d011cc97,4bc8a666-5d71-4851-821a-c00713dcadff
c7610db9-b248-402d-9896-3c76b2508858,4,Jomvu East,6264301e-af40-43ab-ba84-5034d011cc97,f1ec7e26-fba2-442a-9a93-48bed785eb82
a19d1aef-5a6d-456d-bd7a-2c141dd0f449,5,Jomvu Central,6264301e-af40-43ab-ba84-5034d011cc97,f1ec7e26-fba2-442a-9a93-48bed785eb82
50b40c06-5dae-4a2e-827e-6fdddb3376c9,6,Jomvu West,6264301e-af40-43ab-ba84-5034d011cc97,f1ec7e26-fba2-442a-9a93-48bed785eb82
7d7d59ed-f3dd-4be9-818c-aa9c78efe67e,7,Kisauni East,6264301e-af40-43ab-ba84-5034d011cc97,63042ed6-ae08-47bf-8711-05a2ca83d5bf
a197a63e-4293-4b6e-9bb0-de78d0d3ba25,8,Kisauni Central,6264301e-af40-43ab-ba84-5034d011cc97,63042ed6-ae08-47bf-8711-05a2ca83d5bf
1f213e95-e765-48ea-b3cd-345ccb3386bb,9,Kisauni West,6264301e-af40-43ab-ba84-5034d011cc97,63042ed6-ae08-47bf-8711-05a2ca83d5bf
b655301b-0b45-4c5a-88cc-1959999107b5,10,Nyali East,6264301e-af40-43ab-ba84-5034d011cc97,27f1eb8d-11bb-4f3f-b35f-3bf1cbbcef2f
11c5ba3a-0328-4fd7-9375-73a1c3d405c0,11,Nyali Central,6264301e-af40-43ab-ba84-5034d011cc97,27f1eb8d-11bb-4f3f-b35f-3bf1cbbcef2f
2259309a-8da6-4b7f-91df-bd9c671cf3e7,12,Nyali West,6264301e-af40-43ab-ba84-5034d011cc97,27f1eb8d-11bb-4f3f-b35f-3bf1cbbcef2f
bcaf2b9d-3c28-4d34-9b10-bfd3b35c908c,13,Likoni East,6264301e-af40-43ab-ba84-5034d011cc97,085dfed1-6109-4140-9ba1-0baf5c915950
a27232e1-6034-4144-8072-d866f09187ed,14,Likoni Central,6264301e-af40-43ab-ba84-5034d011cc97,085dfed1-6109-4140-9ba1-0baf5c915950
540c3b64-429d-4d1d-8ba8-a1240b995545,15,Likoni West,6264301e-af40-43ab-ba84-5034d011cc97,085dfed1-6109-4140-9ba1-0baf5c915950
6fcc9df6-0d35-4193-9c36-8e13dc7b986d,16,Mvita East,6264301e-af40-43ab-ba84-5034d011cc97,14877ab2-858a-42fc-b23d-cf23e38bbc73
c0565c9a-f6f7-4a15-8a91-d053f2ef001b,17,Mvita Central,6264301e-af40-43ab-ba84-5034d011cc97,14877ab2-858a-42fc-b23d-cf23e38bbc73
92720dcf-0949-41b9-ad54-52753fdd4851,18,Mvita West,6264301e-af40-43ab-ba84-5034d011cc97,14877ab2-858a-42fc-b23d-cf23e38bbc73
628200e3-89cd-4426-a8c3-35a8ddfed1bb,19,Msambweni East,d1848efc-6f88-48b2-9db3-50a3b91284ee,9151c9aa-7cab-48cd-bb0c-fa2e38f9ce54
c8aa3389-9649-47e0-80f2-79d7c33e9128,20,Msambweni Central,d1848efc-6f88-48b2-9db3-50a3b91284ee,9151c9aa-7cab-48cd-bb0c-fa2e38f9ce54
56e83cd5-2cc6-4097-a841-87f169fc9c9b,21,Msambweni West,d1848efc-6f88-48b2-9db3-50a3b91284ee,9151c9aa-7cab-48cd-bb0c-fa2e38f9ce54
aaee5c7d-c327-4570-9d13-655e11252140,22,Lungalunga East,d1848efc-6f88-48b2-9db3-50a3b91284ee,67ebd991-1870-440e-b6b2-7bac37336b13
